investing.com-linkname,Name,Symbol
reliance-industries,Reliance Industries,RELI
tata-consultancy-services,Tata Consultancy,TCS
hdfc-bank-ltd,HDFC Bank,HDBK
infosys,Infosys,INFY
icici-bank-ltd,ICICI Bank,ICBK
hindustan-unilever,Hindustan Unilever,HLL
state-bank-of-india,SBI,SBI
adani-green-energy,Adani Green Energy,ADNA
bajaj-finance,Bajaj Finance,BJFN
bharti-airtel,Bharti Airtel,BRTI
housing-development-finance,Housing Development Finance,HDFC
kotak-mahindra-bank,Kotak Mahindra Bank,KTKM
itc,ITC,ITC
wipro-ltd,Wipro,WIPR
hcl-technologies,HCL Tech,HCLT
asian-paints,Asian Paints,ASPN
adani-transmission-ltd,Adani Transmission Ltd,ADAI
adani-gas,Adani Total Gas,ADAG
avenue-supermarts-ltd,Avenue Supermarts,AVEU
bajaj-finserv-limited,Bajaj Finserv,BJFS
axis-bank,AXIS Bank,AXBK
larsen---toubro,Larsen & Toubro,LART
adani-enterprises,Adani Enterprises,ADEL
maruti-suzuki-india,Maruti Suzuki,MRTI
oil---natural-gas-corporation,Oil & Natural Gas,ONGC
sun-pharma-advanced-research,Sun Pharma,SUN
titan-industries,Titan Company,TITN
ultratech-cement,UltraTech Cement,ULTC
jsw-steel,JSW Steel,JSTL
mundra-port-special-eco.-zone,Adani Ports & SEZ,APSE
nestle,Nestle India,NEST
tata-motors-ltd,Tata Motors,TAMO
tata-steel,Tata Steel Ltd,TISC
power-grid-corp.-of-india,Power Grid,PGRD
sesa-goa,Vedanta,VDAN
ntpc,NTPC,NTPC
skf-india,SKF India,SKFB
hindustan-zinc,Hindustan Zinc,HZNC
coal-india,Coal India,COAL
hindalco-industries,Hindalco Industries,HALC
indian-oil-corporation,Indian Oil,IOC
pidilite-industries,Pidilite Industries,PIDI
divis-laboratories,Divi's Labs,DIVI
hdfc-standard-life,HDFC Life,HDFL
tech-mahindra,Tech Mahindra,TEML
sbi-life-insurance,SBI Life Insurance,SBIL
grasim-industries,Grasim Industries,GRAS
bajaj-auto,Bajaj Auto,BAJA
mahindra---mahindra,Mahindra & Mahindra,MAHM
dabur-india,Dabur India,DABU
